
" ";"Forbrugertillidsindikatoren";"Familiens økonomiske situation i dag, sammenlignet med for et år siden";"Familiens økonomiske  situation om et år, sammenlignet med i dag";"Danmarks økonomiske situation i dag, sammenlignet med for et år siden";"Danmarks økonomiske situation om et år, sammenlignet med i dag";"Anskaffelse af større forbrugsgoder, fordelagtigt for øjeblikket";"Priser i dag, sammenlignet med for et år siden";"Priser om et år, sammenlignet med i dag";"Arbejdsløsheden om et år, sammenlignet med i dag";"Anskaffelse af større forbrugsgoder, inden for de næste 12 mdr.";"Anser det som fornuftigt at spare op i den nuværende økonomiske situation";"Regner med at kunne spare op i de kommende 12 måneder";"Familiens økonomiske situation lige nu: kan spare/penge slår til/ bruger mere end man tjener"
"2008M12";-13.5;0.7;15.5;-40.6;-7.3;-35.6;8.1;-35.5;45.6;-7.9;69.3;26.7;19.9
"2009M01";-9.1;0.5;14.7;-39.4;-3.8;-17.5;-8.4;-38.1;46.3;-10.3;75.7;28.2;25.4
"2009M02";-11.3;2.5;13.5;-50.8;-5.3;-16.6;-15.6;-41.6;51.4;-10.0;70.3;24.0;24.0
"2009M03";-11.7;-0.7;9.2;-53.3;1.2;-15.0;-16.6;-31.5;45.5;-8.4;67.4;26.3;25.1
"2009M04";-4.4;1.6;12.3;-43.5;10.4;-2.6;-17.9;-33.2;31.8;-9.4;72.2;29.1;25.3
"2009M05";-4.7;0.9;16.8;-44.8;14.9;-11.1;-16.2;-25.8;31.0;-4.6;66.0;25.9;27.4
"2009M06";-5.5;-1.0;13.3;-44.1;10.9;-6.8;-19.1;-24.5;34.4;-5.1;65.8;24.7;25.4
"2009M07";-3.2;-0.3;15.4;-43.0;19.2;-7.4;-11.6;-36.6;21.1;-7.7;69.4;27.7;26.1
"2009M08";-2.6;0.1;12.2;-38.5;17.9;-4.7;-14.7;-25.5;28.4;-9.3;65.7;27.9;23.5
"2009M09";-1.1;-0.4;14.3;-39.7;20.9;-0.7;-20.8;-23.2;17.5;-9.5;66.8;24.7;23.5
"2009M10";-0.9;-0.6;13.6;-34.7;18.4;-1.1;-24.7;-26.0;19.1;-9.9;72.8;27.2;24.6
"2009M11";-2.4;-0.3;12.8;-34.3;16.6;-6.5;-25.1;-23.1;24.9;-13.4;70.3;26.0;24.5
"2009M12";-3.6;-0.9;14.0;-37.2;13.7;-7.6;-21.9;-25.0;22.1;-8.2;65.0;22.8;23.9
"2010M01";1.1;-1.0;15.1;-25.4;20.7;-4.1;-21.4;-19.6;15.8;-6.6;69.5;26.5;23.2
"2010M02";1.8;1.2;14.2;-24.2;17.5;0.2;-24.2;-15.5;19.4;-3.3;65.9;26.4;21.3
"2010M03";-1.0;1.6;16.5;-25.4;13.3;-11.0;-15.8;-8.8;13.8;-7.5;69.0;28.3;23.9
"2010M04";4.2;2.3;16.6;-14.9;18.0;-0.9;-19.8;-9.9;-0.4;-2.3;66.2;30.7;28.2
"2010M05";3.0;3.0;12.7;-12.5;18.0;-6.1;-20.0;-7.7;-4.3;-3.4;75.1;36.9;28.9
"2010M06";-1.5;0.0;10.7;-20.7;11.8;-9.1;-19.8;-8.8;-0.4;-7.1;72.7;30.3;28.4
"2010M07";4.1;2.5;15.5;-9.7;17.9;-5.9;-16.5;-5.1;-9.5;-4.4;67.7;25.8;26.1
